"","Colony","Day","Nest","Bin","PropBrood","Density","Corner"
"1",1,4,"Tube",1,0,"High","Y"
"2",1,4,"Tube",2,0.0148148148148148,"High","N"
"3",1,4,"Tube",3,0.177777777777778,"High","Y"
"4",1,4,"Tube",4,0.414814814814815,"High","Y"
"5",1,4,"Tube",5,0.222222222222222,"High","N"
"6",1,4,"Tube",6,0.17037037037037,"High","Y"
"7",1,4,"Tube",7,0,"High","Y"
"8",1,4,"Tube",8,0,"High","N"
"9",1,8,"Tube",1,0,"High","Y"
"10",1,8,"Tube",2,0.0238095238095238,"High","N"
"11",1,8,"Tube",3,0.174603174603175,"High","Y"
"12",1,8,"Tube",4,0.420634920634921,"High","Y"
"13",1,8,"Tube",5,0.166666666666667,"High","N"
"14",1,8,"Tube",6,0.206349206349206,"High","Y"
"15",1,8,"Tube",7,0.00793650793650794,"High","Y"
"16",1,8,"Tube",8,0,"High","N"
"17",1,7,"Tube",1,0,"High","Y"
"18",1,7,"Tube",2,0.032258064516129,"High","N"
"19",1,7,"Tube",3,0.0806451612903226,"High","Y"
"20",1,7,"Tube",4,0.42741935483871,"High","Y"
"21",1,7,"Tube",5,0.201612903225806,"High","N"
"22",1,7,"Tube",6,0.258064516129032,"High","Y"
"23",1,7,"Tube",7,0,"High","Y"
"24",1,7,"Tube",8,0,"High","N"
"25",1,5,"Tube",1,0.00793650793650794,"High","Y"
"26",1,5,"Tube",2,0.00793650793650794,"High","N"
"27",1,5,"Tube",3,0.222222222222222,"High","Y"
"28",1,5,"Tube",4,0.420634920634921,"High","Y"
"29",1,5,"Tube",5,0.142857142857143,"High","N"
"30",1,5,"Tube",6,0.198412698412698,"High","Y"
"31",1,5,"Tube",7,0,"High","Y"
"32",1,5,"Tube",8,0,"High","N"
"33",1,9,"Tube",1,0,"High","Y"
"34",1,9,"Tube",2,0.0078125,"High","N"
"35",1,9,"Tube",3,0.171875,"High","Y"
"36",1,9,"Tube",4,0.3984375,"High","Y"
"37",1,9,"Tube",5,0.1640625,"High","N"
"38",1,9,"Tube",6,0.2578125,"High","Y"
"39",1,9,"Tube",7,0,"High","Y"
"40",1,9,"Tube",8,0,"High","N"
"41",1,6,"Tube",1,0,"High","Y"
"42",1,6,"Tube",2,0.0142857142857143,"High","N"
"43",1,6,"Tube",3,0.207142857142857,"High","Y"
"44",1,6,"Tube",4,0.378571428571429,"High","Y"
"45",1,6,"Tube",5,0.128571428571429,"High","N"
"46",1,6,"Tube",6,0.271428571428571,"High","Y"
"47",1,6,"Tube",7,0,"High","Y"
"48",1,6,"Tube",8,0,"High","N"
"49",1,13,"Tube",1,0,"High","Y"
"50",1,13,"Tube",2,0.016260162601626,"High","N"
"51",1,13,"Tube",3,0.0975609756097561,"High","Y"
"52",1,13,"Tube",4,0.390243902439024,"High","Y"
"53",1,13,"Tube",5,0.219512195121951,"High","N"
"54",1,13,"Tube",6,0.24390243902439,"High","Y"
"55",1,13,"Tube",7,0.032520325203252,"High","Y"
"56",1,13,"Tube",8,0,"High","N"
"57",1,11,"Tube",1,0,"High","Y"
"58",1,11,"Tube",2,0,"High","N"
"59",1,11,"Tube",3,0.145038167938931,"High","Y"
"60",1,11,"Tube",4,0.389312977099237,"High","Y"
"61",1,11,"Tube",5,0.198473282442748,"High","N"
"62",1,11,"Tube",6,0.267175572519084,"High","Y"
"63",1,11,"Tube",7,0,"High","Y"
"64",1,11,"Tube",8,0,"High","N"
"65",1,10,"Tube",1,0,"High","Y"
"66",1,10,"Tube",2,0,"High","N"
"67",1,10,"Tube",3,0.091743119266055,"High","Y"
"68",1,10,"Tube",4,0.412844036697248,"High","Y"
"69",1,10,"Tube",5,0.229357798165138,"High","N"
"70",1,10,"Tube",6,0.26605504587156,"High","Y"
"71",1,10,"Tube",7,0,"High","Y"
"72",1,10,"Tube",8,0,"High","N"
"73",1,12,"Tube",1,0,"High","Y"
"74",1,12,"Tube",2,0,"High","N"
"75",1,12,"Tube",3,0.0727272727272727,"High","Y"
"76",1,12,"Tube",4,0.409090909090909,"High","Y"
"77",1,12,"Tube",5,0.2,"High","N"
"78",1,12,"Tube",6,0.3,"High","Y"
"79",1,12,"Tube",7,0.0181818181818182,"High","Y"
"80",1,12,"Tube",8,0,"High","N"
"81",1,4,"Circle",1,0,"High","Y"
"82",1,4,"Circle",2,0,"High","N"
"83",1,4,"Circle",3,0.0333333333333333,"High","N"
"84",1,4,"Circle",4,0.116666666666667,"High","N"
"85",1,4,"Circle",5,0.15,"High","N"
"86",1,4,"Circle",6,0.425,"High","N"
"87",1,4,"Circle",7,0.241666666666667,"High","N"
"88",1,4,"Circle",8,0.0333333333333333,"High","N"
"89",1,12,"Circle",1,0,"High","Y"
"90",1,12,"Circle",2,0,"High","N"
"91",1,12,"Circle",3,0.0300751879699248,"High","N"
"92",1,12,"Circle",4,0.0902255639097744,"High","N"
"93",1,12,"Circle",5,0.142857142857143,"High","N"
"94",1,12,"Circle",6,0.345864661654135,"High","N"
"95",1,12,"Circle",7,0.330827067669173,"High","N"
"96",1,12,"Circle",8,0.0601503759398496,"High","N"
"97",1,8,"Circle",1,0,"High","Y"
"98",1,8,"Circle",2,0,"High","N"
"99",1,8,"Circle",3,0.015625,"High","N"
"100",1,8,"Circle",4,0.0859375,"High","N"
"101",1,8,"Circle",5,0.1484375,"High","N"
"102",1,8,"Circle",6,0.3984375,"High","N"
"103",1,8,"Circle",7,0.3046875,"High","N"
"104",1,8,"Circle",8,0.046875,"High","N"
"105",1,5,"Circle",1,0,"High","Y"
"106",1,5,"Circle",2,0,"High","N"
"107",1,5,"Circle",3,0.00793650793650794,"High","N"
